strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],original_cost_new_param [$],original_co2_new_param [kg]
co2_conventional,66.0,71.8305,90.97,132.0,67.0,22.799999999999997,41.0,10.45,550.0,227.85000000000002,6726946.79484161,1323142.76927382,11282731109338.352,4368594008823.9937,11298288371517.934,15597042267124.314
cost_conventional,69.3,64.98949999999999,100.06700000000001,132.0,63.65,26.400000000000002,45.1,11,522.5,195.3,32709.3643550706,6878199.15089974,10898201292981.344,10798730815024.281,11693647493622.312,15376250054720.834
co2_conventional,69.3,64.98949999999999,100.06700000000001,132.0,63.65,26.400000000000002,45.1,11,522.5,195.3,6886374.92585892,1167327.22978659,12038270796181.523,4647422428678.784,11693647493622.312,15376250054720.834
cost_conventional,69.3,71.8305,86.4215,120,73.7,26.400000000000002,43.050000000000004,11.0,577.5,217.0,1882993.09773072,3211729.61451405,10880529930389.43,7481010137359.7295,11442708677756.102,16646644783774.17
co2_conventional,69.3,71.8305,86.4215,120,73.7,26.400000000000002,43.050000000000004,11.0,577.5,217.0,6760842.23830729,1290015.38594403,11317265414316.598,4794670643187.587,11442708677756.102,16646644783774.17
cost_conventional,66.0,61.568999999999996,86.4215,108.0,63.65,21.6,45.1,11,550.0,238.70000000000002,32709.3643550706,6878199.15089974,10160072833406.148,10723326576243.78,10739528952452.72,15470177938210.72
co2_conventional,66.0,61.568999999999996,86.4215,108.0,63.65,21.6,45.1,11,550.0,238.70000000000002,6767895.7748546,1283121.68032633,10930013748517.506,4320875159570.4873,10739528952452.72,15470177938210.72
cost_conventional,66.0,68.41,90.97,120,70.35000000000001,22.799999999999997,43.050000000000004,11.55,522.5,238.70000000000002,1229273.23581192,3980308.99234807,10504295349198.281,7835175027432.595,11028757465292.709,14995404975884.125
co2_conventional,66.0,68.41,90.97,120,70.35000000000001,22.799999999999997,43.050000000000004,11.55,522.5,238.70000000000002,6767895.77485462,1283121.68032631,11239427165089.396,4368814749882.1406,11028757465292.709,14995404975884.125
cost_conventional,66.0,75.251,90.97,120.0,67.0,21.6,45.1,11.55,577.5,238.70000000000002,1506053.87987649,2025703.32587935,10584866590268.908,7854809370305.05,11031470088672.984,16090552232797.844
co2_conventional,66.0,75.251,90.97,120.0,67.0,21.6,45.1,11.55,577.5,238.70000000000002,6712837.76721262,1336932.09075444,11269301363310.377,4422481261235.335,11031470088672.984,16090552232797.844
cost_conventional,59.4,64.98949999999999,95.5185,108.0,70.35000000000001,22.799999999999997,38.949999999999996,11.55,577.5,206.14999999999998,32709.3643550685,3830129.69059781,9560780045164.707,11002428183992.496,9943017514049.455,16183052003319.646
co2_conventional,59.4,64.98949999999999,95.5185,108.0,70.35000000000001,22.799999999999997,38.949999999999996,11.55,577.5,206.14999999999998,6636451.95004214,1411587.02922511,10804888659689.447,4474214524405.605,9943017514049.455,16183052003319.646
