strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],original_cost_new_param [$],original_co2_new_param [kg]
co2_conventional,62.699999999999996,61.568999999999996,90.97,126.0,67.0,26.400000000000002,43.050000000000004,11.0,577.5,238.70000000000002,6760001.14880908,1290837.41661756,0.0,4804910417531.31,10745340792067.982,16678823264997.115
cost_conventional,69.3,75.251,100.06700000000001,114.0,60.300000000000004,25.200000000000003,36.9,9.9,550.0,195.3,32709.3643550685,3551142.53657102,10952880430983.723,0,11294212625460.57,15839400102852.744
co2_conventional,69.3,75.251,100.06700000000001,114.0,60.300000000000004,25.200000000000003,36.9,9.9,550.0,195.3,6707912.62905523,1341745.62682329,0.0,4511638088095.325,11294212625460.57,15839400102852.744
cost_conventional,62.699999999999996,68.41,100.06700000000001,120.0,63.65,22.799999999999997,41,11.0,495.0,217.0,32709.3643550685,4008595.782245,10151372818092.379,0,10614633276569.133,14340550701513.506
co2_conventional,62.699999999999996,68.41,100.06700000000001,120.0,63.65,22.799999999999997,41,11.0,495.0,217.0,6792534.00513721,1259041.74462742,0.0,4244367433032.293,10614633276569.133,14340550701513.506
cost_conventional,59.4,61.568999999999996,81.873,126.0,63.65,25.200000000000003,36.9,10.45,577.5,217.0,1841841.12139475,4009071.35453431,9576671941637.453,0,10332366109426.967,16491952878662.928
co2_conventional,59.4,61.568999999999996,81.873,126.0,63.65,25.200000000000003,36.9,10.45,577.5,217.0,6666284.83671214,1382430.14642603,0.0,4622742445802.179,10332366109426.967,16491952878662.928
cost_conventional,59.4,64.98949999999999,86.4215,132.0,63.65,25.200000000000003,45.1,11.55,550.0,206.14999999999998,1767517.28025108,2685140.13023498,9726790161028.777,0,10472489987582.78,15865041601881.6
co2_conventional,59.4,64.98949999999999,86.4215,132.0,63.65,25.200000000000003,45.1,11.55,550.0,206.14999999999998,6808288.83856992,1243643.91078727,0.0,4650397903647.211,10472489987582.78,15865041601881.6
cost_conventional,62.699999999999996,71.8305,81.873,126.0,63.65,22.799999999999997,45.1,12.100000000000001,522.5,238.70000000000002,2164998.87781014,1859070.25918779,10075384432865.201,0,10749984480179.734,14997821895836.412
