strategy,price_hydro [$/kWh],price_solar [$/kWh],price_wind [$/kWh],price_thermal [$/kWh],price_cogen [$/kWh],co2_hydro [kg/kWh],co2_solar [kg/kWh],co2_wind [kg/kWh],co2_thermal [kg/kWh],co2_cogen [kg/kWh],wind_capacity [kW],solar_capacity [kW],cost_conventional [$],co2_conventional [kg],co2_regression [kg]
cost_conventional,66.0,71.8305,95.5185,132.0,67.0,25.200000000000003,43.050000000000004,12.100000000000001,522.5,217.0,1414981.91958935,2719169.52142711,10689912054131.184,0,0
cost_conventional,69.3,61.568999999999996,90.97,108.0,67.0,26.400000000000002,45.1,12.100000000000001,605.0,206.14999999999998,32709.3643550706,6878199.15089974,10505796642445.943,0,0
co2_conventional,66.0,71.8305,95.5185,132.0,67.0,25.200000000000003,43.050000000000004,12.100000000000001,522.5,217.0,6790771.68854921,1260764.12767333,0.0,4597978718680.962,0
co2_conventional,69.3,61.568999999999996,90.97,108.0,67.0,26.400000000000002,45.1,12.100000000000001,605.0,206.14999999999998,6729629.31263318,1320521.03649548,0.0,4931730741730.992,0
cost_conventional,62.699999999999996,75.251,90.97,132.0,60.300000000000004,21.6,41,11.0,605.0,238.70000000000002,1743993.84081581,1834602.74845357,10271550482223.309,0,0
cost_conventional,62.699999999999996,75.251,81.873,126.0,70.35000000000001,26.400000000000002,38.949999999999996,9.9,495.0,206.14999999999998,2236057.83214234,1578169.20309558,10109418937321.326,0,0
co2_conventional,62.699999999999996,75.251,81.873,126.0,70.35000000000001,26.400000000000002,38.949999999999996,9.9,495.0,206.14999999999998,6848620.39802986,1204226.25183642,0.0,4486824607345.153,0
co2_conventional,62.699999999999996,75.251,90.97,132.0,60.300000000000004,21.6,41,11.0,605.0,238.70000000000002,6636895.49387343,1411153.53595815,0.0,4441618154127.342,0
cost_conventional,69.3,61.568999999999996,90.97,114.0,60.300000000000004,25.200000000000003,43.050000000000004,9.9,577.5,217.0,32709.3643550706,6878199.15089974,10564523649229.818,0,0
cost_conventional,72.60000000000001,61.568999999999996,81.873,114.0,70.35000000000001,22.799999999999997,38.949999999999996,10.45,577.5,238.70000000000002,1763189.45413472,5755775.87223848,10852768204181.264,0,0
co2_conventional,69.3,61.568999999999996,90.97,114.0,60.300000000000004,25.200000000000003,43.050000000000004,9.9,577.5,217.0,6778826.52981726,1272438.61284858,0.0,4632580252927.908,0
co2_conventional,72.60000000000001,61.568999999999996,81.873,114.0,70.35000000000001,22.799999999999997,38.949999999999996,10.45,577.5,238.70000000000002,6666418.83899273,1382299.18059516,0.0,4433960613691.192,0
